date,operation_type,store_code,department,quantity
4/26/2021,SALE,400000028996,Dep1,8
4/26/2021,SALE,400000035284,Dep2,1
4/26/2021,SALE,400000036649,Dep2,1
4/26/2021,SALE,400000031781,Dep2,1
4/26/2021,SALE,400000021416,Dep5,1
4/26/2021,SALE,400000034607,Dep1,1
4/26/2021,SALE,400000020723,Dep1,1
4/26/2021,SALE,400000014104,Dep1,1
4/26/2021,SALE,400000030241,Dep2,2
4/26/2021,SALE,400000024486,Dep5,1
4/26/2021,SALE,400000029917,Dep7,1
4/26/2021,SALE,400000028583,Dep12,5
4/26/2021,SALE,400000021355,Dep7,1
4/26/2021,SALE,400000032702,Dep5,1
4/26/2021,SALE,400000006444,Dep1,1
4/26/2021,SALE,400000035260,Dep21,1
4/25/2021,SALE,400000035536,Dep2,1
4/25/2021,SALE,400000035529,Dep2,1
4/25/2021,SALE,400000036977,Dep2,1
4/25/2021,SALE,400000035659,Dep2,1
4/25/2021,SALE,400000035659,Dep2,1
4/25/2021,SALE,400000014128,Dep1,1
4/25/2021,SALE,400000036885,Dep2,1
4/25/2021,SALE,400000029917,Dep7,1
4/25/2021,SALE,400000012018,Dep5,1
4/25/2021,SALE,400000018805,Dep6,1
4/25/2021,SALE,400000028217,Dep1,1
4/25/2021,SALE,400000022611,Dep1,1
4/25/2021,SALE,400000038131,Dep2,1
4/25/2021,SALE,400000016481,Dep12,1
4/25/2021,SALE,400000035963,Dep10,1
4/25/2021,SALE,400000035918,Dep2,1
4/25/2021,SALE,400000017297,Dep2,1
4/25/2021,SALE,400000008912,Dep5,1
4/25/2021,SALE,400000030111,Dep2,1
4/25/2021,SALE,400000035536,Dep2,1
4/25/2021,SALE,400000038131,Dep2,1
4/25/2021,SALE,400000034874,Dep2,1
4/25/2021,SALE,400000029108,Dep4,1
4/25/2021,SALE,400000007205,Dep1,1
4/25/2021,SALE,400000033563,Dep9,1
4/25/2021,SALE,400000019635,Dep10,1
4/25/2021,SALE,400000031842,Dep2,1
4/25/2021,SALE,400000008905,Dep5,2
4/25/2021,SALE,400000038094,Dep5,2
4/25/2021,SALE,400000030258,Dep2,1
4/25/2021,SALE,400000031781,Dep2,1
4/25/2021,SALE,400000032948,Dep9,1
4/25/2021,SALE,400000034218,Dep2,1
4/25/2021,SALE,400000036427,Dep2,1
4/25/2021,SALE,400000035659,Dep2,1
4/25/2021,SALE,400000026787,Dep1,1
4/25/2021,SALE,400000000602,Dep1,1
4/25/2021,SALE,400000001067,Dep1,1
4/25/2021,SALE,400000011103,Dep1,1
4/25/2021,SALE,400000014227,Dep1,1
4/25/2021,SALE,400000033273,Dep15,1
4/25/2021,SALE,400000002446,Dep1,1
4/25/2021,SALE,400000000947,Dep1,1
4/25/2021,SALE,400000028996,Dep1,50
4/25/2021,SALE,400000030074,Dep2,1
4/25/2021,SALE,400000034942,Dep2,1
4/25/2021,SALE,400000032948,Dep9,1
4/25/2021,SALE,400000022628,Dep1,1
4/25/2021,SALE,400000033648,Dep2,1
4/25/2021,SALE,400000029597,Dep2,1
4/25/2021,SALE,400000023373,Dep15,1
4/25/2021,SALE,400000000947,Dep1,1
4/25/2021,SALE,400000004815,Dep1,1
4/25/2021,SALE,400000011417,Dep3,1
4/25/2021,SALE,400000016481,Dep12,1
4/25/2021,SALE,400000036403,Dep2,1
4/25/2021,SALE,400000001890,Dep1,1
4/25/2021,SALE,400000035901,Dep1,1
